News File Name, Sentences, Sum1 Sents, Sum2 Sents, Sum3 Sents, Sum4 Sents, Sum5 Sents, Words, Sum1 Words, Sum2 Words, Sum3 Words, Sum4 Words, Sum5 Words
TAB.SO.13910120.059,22,20,8,4,5,9,691,616,170,150,159,201
HAM.EC.13900619.089,13,2,4,10,5,5,511,75,145,395,147,164
HAM.CU.13910107.090,140,3,18,26,13,,5159,95,524,760,388,
TAB.CU.13900424.073,70,5,2,6,11,22,1556,180,125,194,336,402
JAM.SC.13910204.084,15,4,3,7,5,4,402,100,71,169,138,101
TAB.EC.13900331.079,24,1,2,23,11,1,1036,59,194,1066,342,49
PTV.EC.13900917.100,35,2,10,2,8,,922,130,198,70,206,
ALF.EC.13901207.026,13,6,2,5,6,5,393,126,83,149,222,130
ALF.PO.13910203.021,11,2,3,5,3,4,551,116,116,170,186,75
ALF.CU.13910117.019,11,5,1,7,3,7,548,294,111,196,120,216
HAM.SC.13901118.085,16,6,8,5,1,6,475,138,135,100,61,198
IRN.PO.13910203.037,7,3,3,3,5,2,279,120,124,129,178,68
HAM.SP.13910203.046,12,10,5,1,2,3,704,596,141,98,78,162
FAR.EC.13910131.011,10,3,3,2,2,4,600,108,134,125,85,178
IRN.SC.13910131.052,15,3,4,9,14,3,455,96,92,252,423,74
ALF.EC.13910204.022,8,6,3,2,2,5,338,125,86,108,122,198
TAB.PO.13910202.039,9,4,4,8,4,1,480,216,141,470,174,87
TAB.CU.13900428.077,11,3,5,5,3,3,440,139,103,192,106,160
HAM.SC.13900713.047,15,5,5,4,4,14,499,85,117,114,144,462
FAR.SP.13910202.013,6,2,2,7,2,2,238,64,65,239,72,101
JAM.EC.13910203.056,12,10,4,4,3,4,545,374,171,135,120,148
ALF.SO.13910130.017,9,3,7,2,3,4,391,133,246,72,125,123
FAR.EC.13910203.008,102,2,10,1,22,,3010,84,182,84,411,
FAR.CU.13910203.004,4,1,3,4,6,3,230,70,74,126,125,182
IRN.PO.13910204.031,6,1,3,3,3,5,199,28,51,71,120,108
JAM.SC.13900924.065,25,11,20,3,7,8,767,269,571,70,142,188
TAB.CU.13900522.091,5,3,4,3,1,1,385,136,327,205,66,58
HAM.EC.13900802.083,19,3,7,9,7,8,537,130,149,228,179,262
JAM.SP.13900813.078,23,6,10,4,10,4,713,159,201,181,223,88
HAM.SO.13900802.050,34,9,30,2,4,5,832,203,683,109,204,134
HAM.CU.13900115.094,17,5,7,6,5,3,706,268,416,188,185,101
JAM.CU.13901214.063,13,1,11,4,6,5,605,58,497,120,164,175
IRN.PO.13910203.028,13,7,4,2,3,4,464,233,142,81,137,140
IRN.SC.13910204.054,11,8,6,5,5,3,313,261,128,72,104,97
IRN.CU.13910203.045,9,3,6,5,3,2,292,72,193,150,90,71
PTV.PO.13910204.044,12,4,6,9,4,3,275,85,139,178,66,61
FAR.EC.13910129.014,35,3,8,9,3,10,879,83,167,284,84,213
JAM.SO.13901203.081,11,4,6,6,5,5,357,153,117,205,97,89
PTV.PO.13910127.042,10,2,4,4,6,10,221,52,100,61,143,221
HAM.CU.13910116.061,12,1,3,6,1,7,405,104,125,174,41,273
FAR.SO.13910202.009,7,2,2,2,4,7,242,81,44,68,86,229
TAB.CU.13900209.074,40,3,8,9,7,2,1942,150,174,238,169,103
ALF.SO.13910203.075,10,4,4,4,3,6,317,151,83,90,104,107
IRN.SP.13910202.016,7,5,2,4,2,2,229,174,80,96,45,58
PTV.PO.13900120.099,28,6,1,4,9,26,821,190,45,138,269,780
TAB.EC.13900401.080,11,1,4,8,4,2,415,48,123,304,110,80
TAB.CU.13900311.069,19,4,7,3,8,4,680,95,207,138,280,142
TAB.EC.13910125.030,29,6,4,5,8,4,878,193,175,108,197,123
ALF.PO.13910204.020,23,6,4,4,17,6,516,122,72,58,388,159
JAM.SC.13910204.002,90,7,55,19,9,12,1904,132,1332,391,217,188
FAR.EC.13910127.012,143,3,25,11,19,7,4896,91,735,360,294,256
TAB.SO.13910202.058,10,5,4,5,3,5,616,141,154,91,193,226
JAM.SO.13900307.066,72,6,13,13,9,8,1719,177,207,288,165,105
PTV.PO.13900202.098,26,6,6,16,1,7,786,175,183,459,42,196
IRN.PO.13900801.051,7,4,3,7,3,3,227,51,76,227,98,86
JAM.SP.13910203.001,4,4,2,4,5,2,115,52,33,104,153,61
HAM.SO.13900524.087,18,8,7,8,5,9,515,247,182,176,109,107
HAM.CU.13901206.082,16,5,4,14,1,4,932,259,226,840,69,223
JAM.CU.13900819.067,14,1,3,9,2,6,640,55,98,418,150,218
TAB.SO.13900412.088,15,5,2,13,5,8,492,140,60,433,135,265
PTV.PO.13910203.043,5,2,1,5,2,4,149,40,39,116,50,133
IRN.SP.13910201.048,6,3,4,2,2,2,158,85,106,53,70,43
PTV.PO.13910921.060,31,10,8,26,11,6,821,188,142,644,312,178
IRN.SP.13910204.057,10,4,3,9,4,2,368,141,73,334,85,86
PTV.PO.13910203.015,8,4,2,3,3,4,219,85,78,68,61,103
PTV.PO.13900507.097,12,7,4,4,4,7,300,110,80,65,109,165
IRN.SO.13910204.029,14,4,5,4,1,4,486,133,151,134,31,135
JAM.CU.13901101.003,14,2,5,5,5,6,459,76,140,205,151,145
IRN.SP.13910204.049,3,3,2,2,3,2,169,35,48,97,149,58
PTV.PO.13910205.041,11,4,5,11,1,5,279,95,90,240,68,133
ALF.PO.13910204.027,5,2,2,2,3,2,203,103,54,97,159,62
FAR.SC.13901223.007,10,2,4,3,6,4,284,43,93,71,143,101
ALF.EC.13910204.025,6,3,5,2,1,3,256,101,96,68,73,110
HAM.CU.13900218.093,20,1,16,5,1,6,611,23,584,171,21,187
PTV.PO.13900501.095,12,8,1,4,4,5,406,301,42,130,166,161
HAM.SC.13910204.038,54,11,2,12,9,16,1717,303,130,341,254,450
PTV.PO.13910204.040,11,3,4,2,4,4,323,93,168,84,95,54
HAM.SO.13900419.072,15,6,4,6,4,3,479,108,123,179,156,94
ALF.EC.13910204.024,17,1,6,4,6,8,636,76,211,187,191,168
IRN.SC.13910204.053,4,6,3,1,3,2,102,150,56,33,36,72
FAR.CU.13910203.005,17,6,5,4,9,7,312,122,86,76,157,132
JAM.CU.13901114.086,14,9,4,6,5,1,595,387,121,108,247,36
JAM.SC.13901218.064,78,65,21,3,11,20,1451,1216,417,54,224,346
TAB.PO.13910202.032,23,5,2,8,4,7,666,117,46,236,125,178
JAM.PO.13910203.034,12,2,1,5,3,6,320,72,38,141,120,177
PTV.PO.13901228.068,7,2,4,2,4,3,227,83,157,67,89,84
FAR.SC.13910122.006,43,2,11,21,16,20,661,49,199,284,269,256
JAM.CU.13900622.092,16,1,3,6,5,13,482,64,90,166,131,418
JAM.SO.13901020.071,25,6,9,4,6,8,1146,168,427,131,141,306
IRN.PO.13910202.036,18,4,1,5,9,7,553,115,41,132,262,178
ALF.SC.13910131.018,15,7,6,6,3,7,363,199,143,125,76,144
TAB.EC.13910203.035,8,3,4,1,4,4,240,72,91,30,94,89
HAM.SP.13900416.076,31,7,4,5,3,8,789,169,95,103,61,178
FAR.SP.13910202.010,6,1,2,1,3,5,110,22,34,34,57,90
JAM.SO.13910204.062,122,24,5,11,5,8,2589,530,124,230,108,228
TAB.SP.13910203.033,56,12,5,14,14,6,612,163,70,143,148,71
HAM.SP.13901125.070,18,3,8,5,2,2,958,106,263,314,216,117
ALF.SO.13910126.023,95,7,14,21,13,25,1546,97,274,374,191,539
PTV.SO.13900809.096,13,5,3,5,7,5,253,111,73,94,129,60
IRN.CU.13910204.055,9,3,12,4,3,5,296,92,441,118,52,174
